document_url,song_style,song_lyrics
https://help.nf.synapse.org/NFdocs/about,"**Baroque Pop Vocal Style**

Upbeat, whimsical tempo (120 BPM) featuring ornate harpsichord and lute melodies layered beneath bright, operatic vocals with playful vocal runs and harmonies. The singer delivers witty, introspective lyrics with theatrical flair and melodic embellishment—think whimsical storytelling meets classical sensibility. Orchestral strings (violins, cellos) dance around indie-pop sensibilities while maintaining harpsichord-driven bass lines. The mood is romantically nostalgic yet contemporary—a sophisticated blend of 18th-century elegance with modern vulnerability. Themes explore love's contradictions, artistic yearning, and finding beauty in melancholy moments. Vocals are precise, expressive, and showcase dynamic range with occasional vocal layering creating choir-like textures. Instrumentation balances period authenticity with indie production warmth, creating an enchanting, introspective atmosphere perfect for late-night reflection or wistful daydreaming.","# The NF Data Portal Waltz

*(Verse 1)*
Oh, gather 'round the harpsichord, I'll tell you of a place,
Where neurofibromatosis data finds its grace,
Type one and type two schwannomatosis too,
The Neurofibromatosis Open Science Initiative's breakthrough!
Since twenty-fourteen, the Children's Tumor Foundation,
The Therapeutic Acceleration Program—collaboration,
Gilbert Family, Helmsley Trust, and Sage Bionetworks' hand,
Building precious repositories across the land!

*(Pre-Chorus)*
Rare diseases need a treasure trove,
Where samples, data, research move,
Open science principles we love,
Sharing maximizes all thereof!

*(Chorus)*
The NF Data Portal, oh what a sight!
Synapse underneath, the back-end's right,
Front-facing interface, searchable and free,
Data curation, analysis, discovery!
From generation through dissemination's call,
The lifecycle dances, embracing all,
Upload to Synapse, then portal display,
The neurofibromatosis research way!

*(Verse 2)*
The data lifecycle, let me illuminate,
Generation phase—where uploads permeate,
Metadata exposed, though downloads wait,
Study descriptions help you navigate!
Then curation happens, behind the scenes,
Synapse enables what it means,
To surface data through analysis and tools,
Computational models, biological jewels!

*(Verse 3)*
Cell lines and mouse models, plasmids too,
Bundled into datasets, fresh and new,
Wikis and discussion forums shine,
Interpretation happens over time,
Publications, journals, dissemination wide,
The neurofibromatosis research tide!

*(Bridge)*
Data standards underpin the way,
Metadata schemas guide the day,
Ontologies, controlled vocabulary's art,
National Cancer Institute gave us the start!
RNA sequencing, whole exome reads,
Imaging assays for research needs,
Library preparation, read length defined,
Platform information, carefully aligned!

*(Verse 4)*
Investigators fill the manifests with care,
Using the NF Data Curator's lair,
Filename, format, resource type so clear,
Data type, subtype—precision here!
Assay platform, libraryPrep defined,
ReadLength, readPairOrientation in mind,
ReadStrandOrigin, metadata's song,
Controlled vocabularies keep it strong!

*(Verse 5)*
Instead of ""ribonucleic acid sequencing"" long,
We say ""RNA-seq""—the standardized song,
The open-source GitHub repository holds,
The data dictionary's precious folds,
Anyone in the NF research sphere,
Can join the Open Science Initiative here!

*(Final Chorus)*
The NF Data Portal, where rarities live,
Where collaboration and courage give,
Sage Bionetworks, the Data Center's hand,
Building infrastructure, taking a stand!
From upload through analysis, interpretation clear,
Dissemination to journals we hold dear,
The neurofibromatosis research way,
Growing stronger every single day!

*(Outro)*
Oh, contact nf-osi at Sage Bionetworks' door,
Questions and feedback forevermore,
The NF Data Portal, a beacon so bright,
Where open science reaches its height!"
https://help.nf.synapse.org/NFdocs/about-data-licensing,"**Pop Punk Vocal Style**

Energetic pop punk anthem with raw, passionate singing. Uptempo (160 BPM), featuring a youthful male vocalist delivering punchy, melodic vocals with emotional intensity and occasional vocal breaks. Instrumentation includes distorted electric guitars, driving bassline, and tight drums with crash cymbals. Power chords and catchy hooks dominate. Rebellious, angst-ridden mood with nostalgic '90s energy. Themes: teenage angst, heartbreak, defiance against conformity, and self-discovery. Layered vocal harmonies on choruses create infectious, singalong moments. Production is bright yet gritty, balancing accessibility with edge.","# DATA RIGHTS REBELLION

**[VERSE 1]**
They're asking me what I'm gonna choose
Creative Commons, I can't lose
Raw experimental data, straight from the lab
CC Zero, no rights reserved, that's the stab
Public domain, let it go, no restrictions here
Open data for the world, crystal clear
It's irrevocable, so I gotta be sure
That I own what I'm sharing, that's the cure
No analysis, no interpretation mixed in
Just the immediate output where it begins
The threshold of copyright might not apply
But I'm checking my authority, asking why

**[CHORUS]**
Data rights, data rights, gotta choose the way!
Creative Commons, let the science play!
Data rights, data rights, share it with the world!
Let the reanalysis flag unfurled!
Data rights, data rights, publicly funded rules!
Data rights, data rights, don't be nobody's fool!

**[VERSE 2]**
But hold up, human data's different, yeah
Sensitive information, I gotta be clear
HIPAA regulations, they're watching close
De-identify everything, that's the most
No patient identifiers, keep 'em safe and sound
Notify Sage Bionetworks, pass it around
Informed consent requirements from a review board check
Quality concerns reported, gotta cover the deck
Submit those corrections quick as you can
Follow all applicable laws across the land
Your region, your institution, they set the line
Human data sharing, gotta get it right this time

**[CHORUS]**
Data rights, data rights, gotta choose the way!
Creative Commons, let the science play!
Data rights, data rights, share it with the world!
Let the reanalysis flag unfurled!
Data rights, data rights, publicly funded rules!
Data rights, data rights, don't be nobody's fool!

**[BRIDGE]**
Consult legal counsel if you're not sure
About intellectual property's cure
Copyright law is complex, don't you know
Restrictions deter reuse, gotta let it flow
Reanalyze, repurpose, advance the game
New discoveries coming, that's the aim!

**[VERSE 3]**
It's a respected standard, repositories use it wide
The NF Data Portal's got it as its guide
Particularly in the United States, yeah
Any restrictions, they get in the way
Public domain release is the key
Funding structure might require it, see
De-identify, de-identify, strip it down
No disclosure to the portal, no way around
Sage Bionetworks watching, quality first
Submit those corrections, quench that thirst

**[FINAL CHORUS]**
Data rights, data rights, gotta choose the way!
Creative Commons, let the science play!
Data rights, data rights, share it with the world!
Let the reanalysis flag unfurled!
Data rights, data rights, human data too!
Data rights, data rights, follow through and through!

**[OUTRO]**
Creative Commons, CC Zero, public domain call
Open data, open science, sharing it all!
Data rights, data rights, yeah!
Data rights, data rights, yeah!"
https://help.nf.synapse.org/NFdocs/about-data-sharing,"**Soft Rock Vocal Ballad**

Gentle, introspective soft rock with soaring lead vocals. Tempo: 76 BPM, mid-paced and flowing. Vocals are warm, emotive, and rich with subtle vibrato—intimate storytelling delivery. Instrumentation: clean electric guitars with fingerpicking, warm bass lines, subtle drums with brushes, layered acoustic elements, soft strings. Lush, nostalgic atmosphere with atmospheric reverb. Themes: heartfelt love, personal reflection, longing, connection. Perfect for evening listening—vulnerable yet uplifting emotional resonance.","# Open Data Heart

**[Verse 1]**
There's a conversation waiting, reach out to the community
Send a message to the N-F-O-S-I, they'll guide you carefully
You'll need acceptance as a contributor, that's where it all begins
Review the documentation, understand the discipline within

**[Chorus]**
Share your data with the world, let it flow so free
Findable, accessible, interoperable, reusable—that's F-A-I-R to me
Open science, open hearts, reproducibility
Showing all your rigor now, building trust in what we see

**[Verse 2]**
Gather all your supplemental information, prepare it with care
Add the metadata and annotations so the discovery's there
Upload it to Synapse, let the platform hold it tight
Quality checks and validation, make sure everything's right

**[Chorus]**
Share your data with the world, let it flow so free
Findable, accessible, interoperable, reusable—that's F-A-I-R to me
Open science, open hearts, reproducibility
Showing all your rigor now, building trust in what we see

**[Verse 3]**
Determine your access controls, decide who needs to know
Data licensing and governance, let those permissions grow
Some are open to the public, some need agreements signed
Data use agreements, review board approval—peace of mind

**[Bridge]**
For biomedical data, there's healing on the way
New treatments, new therapies, cures that save the day
Patient outcomes improving, the public good takes flight
Funding organizations require it—it's what's right
National Institutes of Health, foundations, journals too
They're asking for your data, asking all of you

**[Verse 4]**
Once the embargo period lifts, once the publication's done
Your data becomes accessible—the sharing has begun
Machine-readable for analysis, discoverable and clear
Colleagues and the world can build upon what's here

**[Final Chorus]**
Share your data with the world, let it flow so free
Findable, accessible, interoperable, reusable—that's F-A-I-R to me
Open science, open hearts, reproducibility
New discoveries waiting, advancing what we'll be

**[Outro]**
It's the future of science, in your hands tonight
Openness and longevity, sharing makes it right
Share your data with the world, with the world..."
https://help.nf.synapse.org/NFdocs/accessing-data,"**Contemporary R&B**

Smooth, sensual vocal delivery with rich melismatic runs and layered harmonies over a mid-tempo groove (90 BPM). Deep, atmospheric production featuring silky strings, analog warmth, and subtle trap-influenced hi-hats. The vocalist delivers intimate, conversational lyrics with emotional vulnerability—exploring themes of love, heartbreak, self-discovery, and urban romance. Moody, late-night ambiance with lush chord progressions, breathy ad-libs, and soulful inflection. Think neo-soul sophistication meets modern production with introspective storytelling. Atmospheric and hypnotic.","# ""EXPLORE THE DATA""

**[Intro - Breathy, atmospheric]**
Yeah, yeah... let me show you how...
Find what you're looking for...
Mm-hmm...

**[Verse 1]**
Landing on the portal, portal's calling me
Twelve thousand files waiting, can you see?
Synapse account, that's your key to the door
Register now, yeah, that's what it's for
Some data's controlled, you gotta request access
Read those terms, electronically confess, yes

Filter Data By section on the left side
Assay, Data Type, Tumor Type, that's your guide
Red arrows showing me the categories
Click that plus sign, reveal the mysteries
File Format, Funding Agency too
Individual ID, genotype, so true

**[Chorus]**
Narrow it down, narrow it down
Find your data in this town
Start with all, then you refine
Every filter helps you align
Check the boxes, watch the numbers flow
Three thousand eight hundred, now you know
Combine your filters, watch it shrink
Six hundred fifty-seven, yeah, think

**[Verse 2]**
RNA-Seq selected, three thousand eight hundred calls
Gene Expression and Schwannoma, now the number falls
Six fifty-seven results, that's precision, baby
Stack your filters up, maybe, maybe
Show More button reveals what's hidden deep
Search within each category, search your sleep

Charts at the top, visualizations so clean
Filter icon three for every scene
Expand icon six to make it big
Contract it back, play with the rig
View All Charts or hide them away
Default's Assay and Data Type display

**[Verse 3]**
Data table organized by category name
Filter icon three plays the same game
Reorder icon eight, reverse that flow
Rearrange the columns, watch it grow
Twenty-five rows, then you navigate
Click Next or Previous, don't hesitate
Horizontal scroll bar at the bottom there
Extra columns waiting, if you dare

Search icon one, type your specific term
Narrow down your query, let the data turn
Graph icon two hides visualization
Toggle it on for your exploration
Filter icon three, hide or show
Filter Data By section, control the flow

**[Bridge - Intimate, vulnerable]
**
Export your table, save it all
CSV or TSV, heed the call
Download icon four, that's your friend
Synapse command line, on the end
Add to Download List for later, yeah
Programmatic options, I declare

Data Status, let me break it down for you
Pending means it's coming through
Under Embargo, twelve to eighteen months they say
Waiting for results before they display
Available means it's ready, public use
Access controls might still produce
Some restrictions on the sensitive side
But download it, don't hide

**[Verse 4]**
Data Not Expected, wasn't in the plan
Partially Available, take what you can
Some portions accessible, others still prepared
Rolling Release, continuous, declared
Same type of data from your cohorts over time
Generations of information, sublime

Anyone can browse the public face
But Synapse account gets you in the space
Download that data, that's the key
Metadata dictionary, definitions so free
Explore the tab, subtabs for your need
Files, Projects, whatever you read

**[Chorus - Final]**
Narrow it down, narrow it down
Find your data in this town
Start with all, then you refine
Every filter helps you align
Check the boxes, watch the numbers flow
Three thousand eight hundred, now you know
Combine your filters, watch it shrink
Six hundred fifty-seven, yeah, think

**[Outro - Breathy, fading]**
Explore, explore...
The portal's yours...
Filter, refine...
Your data's mine...
Yeah, yeah... mm-hmm..."
https://help.nf.synapse.org/NFdocs/annotation-dictionary-browser,"**Genre: Grunge**

A raw, emotionally charged grunge vocal track with a brooding, introspective atmosphere. Tempo sits around 90-100 BPM with heavy, distorted guitars and thunderous drums. The vocal delivery is gritty and vulnerable—a deep, raspy male voice that wavers between melodic verses and anguished, cathartic choruses. Instrumentation features thick bass lines, fuzzy guitar riffs, and crashing cymbals creating a wall of sound. The mood is dark, angst-ridden, and defiant. Lyrically, explore themes of inner turmoil, societal alienation, existential doubt, and personal struggle. The overall aesthetic evokes early 90s Seattle grunge: authentic, unpolished, and emotionally raw with moments of quiet introspection punctuated by explosive instrumental breakdowns.","# ANNOTATION BROWSER BLUES

**[Verse 1]**
Down in the data dictionary, lost in the dark
Searching for meaning, just trying to find my mark
Tables and modules, they're calling my name
Filtering through the noise, it's all the same
RNA Sequencing, Assay, I need to know
Where to find the terms that help me grow

**[Pre-Chorus]**
Navigate the categories, don't lose your way
The NF-OSI data's here to stay

**[Chorus]**
I'm browsing through the annotations, yeah
Commonly-used modules, that's where I'm at
Search the boxes, filter it down
Find the terms you need in this town
JSON-LD format, download it all
Listen to the data's call
It's heavy, it's real, it's pulling me through
The annotation browser's got the truth

**[Verse 2]**
Type in your keywords, watch the results appear
Assay module's waiting, crystal clear
If you're looking for RNA, type it in right
The search will illuminate the night
Full screen view, click and expand
Understanding the dictionary, take a stand
Every term is catalogued, organized tight
In the NF-OSI framework, burning bright

**[Pre-Chorus]**
Explore the modules, find your way
The data structure's here to stay

**[Chorus]**
I'm browsing through the annotations, yeah
Commonly-used modules, that's where I'm at
Search the boxes, filter it down
Find the terms you need in this town
JSON-LD format, download it all
Listen to the data's call
It's heavy, it's real, it's pulling me through
The annotation browser's got the truth

**[Bridge - Quiet, Introspective]**
One table, two tables, searching for light
Multiple search boxes burning through the night
Filter for answers, the terms that you seek
The browser won't fail you, it's strong, not weak

**[Final Chorus - Explosive]**
I'm drowning in annotations, breaking through walls
Commonly-used modules answering the calls
Search and filter, narrow it down
Find every term in this data town
Download the JSON-LD, hold it tight
The annotation browser cuts through the blight
It's raw, it's real, it's saving me now
The dictionary shows me how

**[Outro]**
Click here for full screen, don't look away
The NF-OSI data's here to stay
In the darkness, the terms shine through
The annotation browser's coming for you"
https://help.nf.synapse.org/NFdocs/antibody-epitope-nomenclature,"**Dance Pop with Soaring Vocals**

Upbeat dance pop at 128 BPM with infectious energy. Lead vocals are bright, confident, and melodically engaging—layered with punchy harmonies and occasional ad-libs. Synth-driven production features pulsing bass, crisp drums, and shimmering electronic textures with organic guitar accents. The mood is euphoric and celebratory with an irresistible groove. Lyrically, themes explore self-empowerment, freedom on the dancefloor, romance, and living in the moment. Vocals should be expressive with dynamic range—powerful in chorus moments, intimate in verses. Build anticipation with layered vocal production creating an anthem-like quality perfect for dancefloors and sing-alongs.","# ANTIBODY NOMENCLATURE DANCE

**[VERSE 1]**
Listen up, we've got a system, let me break it down
Consistent naming for antibodies, the best in town
When you're targeting an epitope, here's what you gotta do
Format it correctly, make it clear and true

**[PRE-CHORUS]**
Every detail matters, every step is key
Nomenclature's the language, sets your science free
Follow the structure, keep it standardized
Watch your antibodies recognized

**[CHORUS]**
Epitope, epitope, let's get it right
Format it perfectly, shining bright
Phospho-prefix, gene symbol too
This is how we do it, this is how we do
Epitope, epitope, dancing through the night
Every target labeled, everything's tight
Standardized and beautiful, the science way
Nomenclature's our foundation, here to stay

**[VERSE 2]**
If it's phospho-specific, start with ""phospho-"" in front
Then your gene symbol or protein name—that's the hunt
Add the three-letter amino acid abbreviation
Serine, Threonine, show the location
Like ""phospho-NF1"" followed by ""(Ser2515)""
That's precision, that's the nomenclature life

**[PRE-CHORUS]**
Every detail matters, every step is key
Nomenclature's the language, sets your science free
Follow the structure, keep it standardized
Watch your antibodies recognized

**[CHORUS]**
Epitope, epitope, let's get it right
Format it perfectly, shining bright
Phospho-prefix, gene symbol too
This is how we do it, this is how we do
Epitope, epitope, dancing through the night
Every target labeled, everything's tight
Standardized and beautiful, the science way
Nomenclature's our foundation, here to stay

**[VERSE 3]**
Mutation-specific? Use one-letter abbreviation
For the amino acid variation
Like ""KRAS"" with ""(G12V)"" in parentheses clear
That's the protein variant they need to hear
Add the amino acid location when you can
Format it as ""aa START-END""—got a plan

**[BRIDGE]**
""aa 100-150"" or ""aa 507-530 N-term""
Terminal regions, every detail you learn
Valid examples: NF1, phospho-NF1
KRAS with G12V, the work gets done
NF1 with locations, amino acids shown
Nomenclature's the language, make it known

**[FINAL CHORUS]**
Epitope, epitope, let's get it right
Format it perfectly, shining bright
Phospho-prefix, mutations, locations too
This is how we do it, this is how we do
Epitope, epitope, dancing through the night
Every target labeled, everything's tight
If it doesn't fit the system, don't despair
Contact us and tell us—we'll work with care

**[OUTRO]**
Consistent nomenclature, that's the way
Standardized antibodies, every single day
Epitope, epitope, we got it down
Best-named targets in the science town"
https://help.nf.synapse.org/NFdocs/contact-us,"**VOCAL STYLE PROMPT:**

**Genre:** Blues

**Tempo:** Slow to mid-tempo (70-90 BPM)

**Vocals:** Deep, soulful male voice with raw emotional delivery; gritty tone with bluesy inflection, occasional melismatic runs, and natural vocal cracks expressing genuine pain and vulnerability.

**Instrumentation:** Classic acoustic guitar with fingerpicking and slide techniques, upright bass, subtle harmonica accents, light brush drums, organ pad underneath.

**Mood/Atmosphere:** Melancholic, introspective, intimate; late-night emotional catharsis with a smoky, worn-out feeling.

**Lyrical Themes:** Heartbreak, loss, personal struggle, redemption through suffering, midnight reflections on past mistakes and failed love.","# MIDNIGHT BLUES FOR FINDING HELP

*(Verse 1)*
Well, I'm sitting here in the dark, don't know where to turn,
Got questions burning in my heart and lessons left to learn,
There's a service portal waiting, where the answers hide,
File yourself a support ticket, let that be your guide,
They say there's four ways to reach out when you're feeling low,
Four directions through the darkness, that's the way to go.

*(Chorus)*
When you're lost and lonely, when you need a hand,
There's a portal, there's a ticket, help you understand,
Zoom appointment with the team, they'll see you through the night,
Four ways to find redemption, gonna set it right,
Gonna set it right, oh Lord, gonna set it right.

*(Verse 2)*
You can schedule with them over Zoom, face to face,
See the people who can help you, see the warmth and grace,
Or there's a button on the bottom right side of the screen,
""Need more help?"" it's asking, the best you've ever seen,
Just reach down and touch it when the shadows close around,
That's the voice of kindness waiting to be found.

*(Chorus)*
When you're lost and lonely, when you need a hand,
There's a portal, there's a ticket, help you understand,
Zoom appointment with the team, they'll see you through the night,
Four ways to find redemption, gonna set it right.

*(Verse 3)*
And there's email in the darkness, nf-osi at sagebionetworks dot org,
Send your troubles floating down that digital road,
Four ways, brother, four paths through your pain,
Service portal, Zoom connection, button, email chain,
Don't you sit there suffering when help is standing near,
Reach out in the midnight, make yourself clear.

*(Outro)*
Yeah, I found my way back home through that helping hand,
Four ways to redemption, now I finally understand,
Service portal, Zoom, button, email too,
When you're lost in darkness, they'll carry you through,
They'll carry you through, oh yes, they'll carry you through."
https://help.nf.synapse.org/NFdocs/contributing-data,"**Electric Blues Vocal Style**

Gritty, soulful electric blues with raw emotional vocal delivery. Tempo: 90-110 BPM, moderate swing feel. Vocalist uses raspy, strained tone with blues phrasing, bending notes and adding subtle growls. Instrumentation: distorted electric guitar with thick sustain, walking bass, drums with shuffle groove, harmonica solos. Mood: melancholic yet powerful, dripping with longing and pain. Atmosphere: smoky, intimate late-night club setting. Lyrical themes: heartbreak, struggle, resilience, longing for lost love, overcoming adversity. Rich vocal harmonies layered underneath. Expressive dynamics—quiet vulnerability shifting to passionate belting. Authentic blues sensibility with modern production.","# ""Share Your Data (Blues of Open Science)""

*(Verse 1)*
Well, I got something precious, yeah, I got it deep inside,
Research data burning, can't no longer hide,
Thank you for believing in the open science way,
You're advancing all the knowledge, gonna change the game today,

*(Pre-Chorus)*
There's stages to follow, steps to complete,
Got to get it right, make it neat,

*(Chorus)*
Share your data, share it true,
Format it, organize it through and through,
Upload it up, annotate with care,
Open science mission, spreading everywhere,
Share your data, let it sing,
Contributing to everything,

*(Verse 2)*
First you gotta format, got to structure it right,
Get your data organized in the pale moonlight,
Then you organize it, make the folders clean,
Best practices laid out, follow what they mean,
Upload through the portal, Synapse interface,
Watch that video tutorial, keep a steady pace,

*(Pre-Chorus)*
There's stages to follow, steps to complete,
Got to get it right, make it neat,

*(Chorus)*
Share your data, share it true,
Format it, organize it through and through,
Upload it up, annotate with care,
Open science mission, spreading everywhere,
Share your data, let it sing,
Contributing to everything,

*(Verse 3)*
Now you gotta annotate, add that metadata soul,
Make your dataset meaningful, that's the goal,
Use the Data Curator App, add the context deep,
Document your findings, promises to keep,
Check that contributor checklist, make sure you're complete,
Every requirement covered, no missed beat,

*(Bridge)*
If your funding came from partners, listen close to me,
Got obligations in your funder agreement, you see,
Follow those requirements, honor what they say,
Sharing data responsibly, that's the only way,

*(Verse 4)*
Watch the tutorial videos, learn the portal well,
Uploading through Synapse, got stories to tell,
Annotate with the app, add the details clear,
Make your data discoverable, crystal sincere,
You're participating in something greater still,
Advancing research forward, bending science's will,

*(Final Chorus)*
Share your data, share it true,
Format it, organize it through and through,
Upload it up, annotate with care,
Open science mission, spreading everywhere,
Share your data, let it sing,
Contributing to everything,
Share your data, share it right,
Lighting up the research night,

*(Outro)*
Yeah, share your data, thank you friend,
Open science has no end,
Share your data, share it true,
Advancing all the research through..."
https://help.nf.synapse.org/NFdocs/data-contributor-checklist,"**Neo-Soul Vocal Style**

Smooth, atmospheric neo-soul track at 85 BPM with silky, emotive female vocals layered with subtle vocal harmonies. Rich instrumentation features warm analog synthesizers, live bass guitar, and soft jazz drums with swing pocket. Lush string arrangements float beneath intimate vocal delivery. Mood is sensual yet introspective, creating late-night sophistication. Vocals convey vulnerability and confidence simultaneously with jazz-influenced phrasing and ad-libs. Lyrical themes explore modern romance, self-discovery, and emotional healing with poetic, introspective storytelling. Production emphasizes vinyl warmth with organic reverb on vocals. Ambient pad textures create dreamy atmosphere while maintaining groovy pocket. Perfect balance between contemporary production and classic soul sensibility.","# Data Sharing Journey

**[Intro - Atmospheric]**
Mmm, yeah... let me tell you 'bout this journey
Five phases, moving smooth and steady

**[Verse 1]**
First thing first, congratulations on your award
Sage and the funder gonna help you set the course
Register your Synapse account, gotta be certified
Add your researcher I-D to your profile, don't hide
Complete that data sharing plan without delay
Tell them what you're generating, the types of data, the way
How many samples you expecting, when the uploads come through
Human data in your submission? Tell them true
Get access to your project, make sure the team can see
Send those Synapse usernames so everybody's free
Visit your study on the portal, get familiar with the space
Documentation's waiting for you in this place

**[Chorus]**
Five phases, five phases, moving through the flow
Initial Award to Publication, watch your data grow
Data Generation, Embargo, Prep and then release
Post-Publication celebration, find your peace
Mmm, yeah, each step matters, don't you skip
Keep your data organized, maintain that grip

**[Verse 2]**
Data Generation phase, you uploading all year long
Regular milestones, keeping everything strong
Use that user interface or program it right
For the larger files, make sure you get it tight
Annotate with metadata through the Data Curator App
Provenance and documentation, fill that gap
Supplementary info, wikis, keep it clean
Best practices showing in everything you've seen
Milestone reports to your funder when it's due
Staying transparent, keeping them in view

**[Verse 3]**
Project Completion comes when your grant date passes by
Moving into embargo, let that time fly
Check with your funder for that embargo length
Use this time to finish strong with all your strength
Wrap up annotations, prep that data right
Governance measures, licensing in sight
If you got sensitive human data, the team will call
Discussing access conditions, covering all
Mint that project D-O-I, permanent and clear
Journals gonna need it, make it appear
Further curation might be necessary here
Missing metadata, discovery so dear

**[Verse 4]**
Data Publication Prep, this is crucial ground
Time your release with your publication round
Citation in your Data Availability statement, that's the move
Journal reviewers need access? We got the groove
Reach out to Sage at nf-osi@sagebionetworks dot org
They'll help you with the process, keep it all in form
Principal Investigator approval, that's the key
Email from Sage team, respond so they see
Data's gotta be accessible, gotta get the green light
Everything aligned before it goes live and bright

**[Verse 5]**
Post-Publication, congratulations, celebrate
Your data's released and your results are great
Share that link, share that D-O-I far and wide
Let the world know what's on this ride
Sage team features releases quarterly, you know
Send a summary, one hundred fifty words or so
Describe your research, what the data shows
Relevant publications, how it flows
Send it to nf-osi@sagebionetworks dot org
Let them amplify your voice, let it resonate and soar

**[Outro - Sensual, Introspective]**
Five phases, five phases, complete the journey through
Data sharing, contribution, everything you do
From the award to the publication and beyond
Building knowledge, creating that bond
Yeah... mmm, that's how you do it
That's how you do it right
Five phases of the light"
https://help.nf.synapse.org/NFdocs/data-model-schema,"**Neo-Soul Vocal Style**

Smooth, soulful singing with rich vocal harmonies and ad-libbed runs. Mid-tempo groove (90-100 BPM) layered with warm Rhodes piano, mellow strings, and subtle live drum programming. Deep bass lines anchored by organic percussion. Intimate, introspective mood with atmospheric reverb and lush soundscaping. Themes exploring emotional vulnerability, self-discovery, relationships, and inner peace. Vocal delivery blends contemporary R&B sensibilities with jazz inflections. Ethereal, late-night atmosphere with sophisticated chord progressions and poetic lyricism. Silky, expressive vocals with natural breath and emotional depth throughout.","# Neurofibromatosis Research Tools Central

*(Verse 1)*
Mmm, let me tell you 'bout the structure, yeah
Entity-relationship diagram showing the way
Data model flowing through the database, oh
Organized and clear, helping us navigate

The schema's laid out in machine-readable code
JSON-LD files carrying the load
Every field and every connection defined
Building knowledge, piece by piece, refined

*(Pre-Chorus)*
When you need to understand the flow
Let the diagram show, let it show
Structure and organization, oh

*(Chorus)*
This is how we build it up, build it up
Neurofibromatosis Research Tools Central
Every relationship mapped out, mapped out
From the ground up, foundational
The data model's the blueprint, yeah
Machine-readable, crystal clear, yeah
JSON-LD schema, tracking changes through the years
This is how we hold it all together, together

*(Verse 2)*
See the entity-relationship diagram
Shows you how the data's organized and planned
Every table connected, every field in place
Building comprehensive research space

Schema documented, changes tracked with care
In the release notes, everything's there
When you modify the structure, when you make a change
It's recorded, it's maintained, nothing's strange

*(Bridge)*
Shout to Anh Nguyet Vu and Brynn Zalmanek
James Eddy, Mialy, Milen stepping in
Kaitlin Throgmorton, Robert Allaway too
At Sage Bionetworks, building something true
Gilbert Family Foundation standing strong
Contributing wisdom all along
Feedback and support to make it right
This data model shining bright

*(Chorus)*
This is how we build it up, build it up
Neurofibromatosis Research Tools Central
Every relationship mapped out, mapped out
From the ground up, foundational
The data model's the blueprint, yeah
Machine-readable, crystal clear, yeah
JSON-LD schema, tracking changes through the years
This is how we hold it all together

*(Outro)*
Mmm, the structure's sound
Data flowing all around
Entity relationships profound
In this research space we've found
Yeah, yeah, together now
This is how we hold it down"
